,GDate,CodOfBuyer,CodOfSeller,Value,Valume
89564,2022-05-11,482162,563293,1438162342,210290
89568,2022-05-11,482162,096397,1382952689,172033
89587,2022-05-11,463767,771969,9371629958,946225
89589,2022-05-11,463767,582086,4884531268,635149
89599,2022-05-11,463767,563293,1864677032,334661
89909,2022-05-11,179680,176300,1892262974,257875
90225,2022-05-11,661102,819943,1208378318,211150
90297,2022-05-11,393344,582086,6910078007,813003
90330,2022-05-11,085595,582086,4977525232,638128
90387,2022-05-11,280032,582086,1815566773,357583
90479,2022-05-11,926202,582086,2037937215,268821
90536,2022-05-11,255764,192286,1838382806,205832
90727,2022-05-11,694615,706609,1092773584,147335
90728,2022-05-11,694615,480454,3790471434,420403
90777,2022-05-11,046917,215120,1557280802,330056
90778,2022-05-11,046917,819379,1671177800,318421
90820,2022-05-11,259016,875106,1897801701,215823
90935,2022-05-11,903443,582086,2057806074,294278
90939,2022-05-11,903443,888952,1321297022,220648
90990,2022-05-11,115900,771969,1561675975,282900
91021,2022-05-11,192395,582086,4705872801,604416
91024,2022-05-11,192395,386852,1524762612,180986
91086,2022-05-11,441941,641245,1616889545,293332
91087,2022-05-11,441941,582086,3856477327,422796
91097,2022-05-11,441941,226769,2663396903,370785
91100,2022-05-11,441941,135589,1526455204,171599
91107,2022-05-11,441941,696670,2702027985,288615
91110,2022-05-11,441941,819943,1584632624,331967
91119,2022-05-11,441941,929042,1695335792,285385
91215,2022-05-11,534200,641245,3042123256,410535
91231,2022-05-11,534200,582086,205778068662,20473501
91260,2022-05-11,534200,468502,2053978674,292847
91288,2022-05-11,534200,356232,1650249450,162789
91296,2022-05-11,534200,308493,2486853522,286237
91310,2022-05-11,534200,254381,1442251155,161472
91320,2022-05-11,534200,215120,2746201315,358630
91329,2022-05-11,534200,176300,3740343326,384229
91348,2022-05-11,534200,819379,2057201422,374190
91349,2022-05-11,534200,761335,1834503461,246869
91355,2022-05-11,534200,563293,5483101736,625522
91357,2022-05-11,534200,386852,19968024349,2032865
91367,2022-05-11,534200,163989,1861656634,326119
91441,2022-05-11,534200,694615,5393998514,680853
91447,2022-05-11,534200,991330,1329986823,171543
91475,2022-05-11,534200,929042,1597566287,158122
91481,2022-05-11,534200,115900,1849948084,220699
91640,2022-05-11,787534,024497,2002254219,320090
91652,2022-05-11,802577,582086,1325929651,278637
91675,2022-05-11,802577,563293,1531381963,312452
91862,2022-05-11,741511,582086,2043536732,377072
91910,2022-05-11,198531,582086,7995389248,949950
92079,2022-05-11,355275,582086,2029302880,320273
92144,2022-05-11,635235,189019,1404297770,302675
92311,2022-05-14,869075,582086,1489319818,182986
92415,2022-05-14,835064,382732,2379573827,265125
92810,2022-05-14,664285,582086,9131948407,995358
93395,2022-05-14,367391,582086,2010181727,343285
93669,2022-05-14,234668,291491,1789605862,219521
94191,2022-05-14,128197,582086,2594216638,410020
94557,2022-05-14,667035,007628,1505248218,252805
94773,2022-05-14,533820,582086,7842665713,873639
94935,2022-05-14,280238,654220,1259262034,151925
95442,2022-05-14,473383,007628,1513531094,169486
95525,2022-05-14,534200,582086,28371726189,2884367
95548,2022-05-14,534200,468496,2537561915,306470
95572,2022-05-14,534200,336379,1436602251,182683
95578,2022-05-14,534200,295414,3969125585,413147
95582,2022-05-14,534200,257377,4016214380,442644
95591,2022-05-14,534200,198526,2041728608,299918
95597,2022-05-14,534200,158181,6937953709,717240
95610,2022-05-14,534200,435584,6952892538,757506
95643,2022-05-14,534200,867668,1269706180,138023
95668,2022-05-14,534200,066395,2599430620,436929
95683,2022-05-14,534200,440211,3291314787,493253
95686,2022-05-14,534200,852094,2946435783,330432
95731,2022-05-14,534200,637737,1383679639,236046
95795,2022-05-14,674728,582086,3987755375,537574
95932,2022-05-14,524739,518429,1991512357,333543
95943,2022-05-14,557286,870083,1374662360,233758
95955,2022-05-14,557286,719529,9809515910,1055530
95961,2022-05-14,557286,626006,1145347624,236112
95962,2022-05-14,557286,582086,12756624491,1306233
95971,2022-05-14,557286,391092,3180541907,423955
95973,2022-05-14,557286,382732,1543540463,260213
95983,2022-05-14,557286,176300,1874053426,280051
95992,2022-05-14,557286,269665,1211328723,136596
96024,2022-05-14,557286,007628,1986996505,213936
96032,2022-05-14,557286,808587,2020648120,295595
96066,2022-05-14,760074,291491,1115273041,244150
96117,2022-05-14,108230,582086,1108255922,240778
96138,2022-05-14,473741,582086,2000712088,282162
96189,2022-05-14,763381,780092,1571068038,321140
96250,2022-05-14,767818,176300,1988055399,296021
96280,2022-05-14,767818,524739,2013054844,301379
96290,2022-05-14,767818,298672,2763799009,436276
96586,2022-05-14,154593,582086,1687670825,220488
96647,2022-05-14,154593,532648,2217648635,251354
96844,2022-05-15,851082,852094,1894091275,260947
96862,2022-05-15,841718,816591,1892468510,331521
96911,2022-05-15,829197,823106,2774342934,338896
96932,2022-05-15,829197,295414,1885682481,250615
96963,2022-05-15,829197,760352,2859993457,414870
96970,2022-05-15,829197,787534,4560523835,586913
96978,2022-05-15,829197,020254,1939174699,286487
97113,2022-05-15,747609,491335,1726658584,182936
97292,2022-05-15,644942,263190,1095974235,186202
97798,2022-05-15,373299,661923,1724007420,184830
98625,2022-05-15,689737,741511,1785917306,246082
98743,2022-05-15,375713,491335,1167887871,125743
98789,2022-05-15,947726,405839,1738732926,265774
99288,2022-05-15,683712,231201,1577139511,312939
99398,2022-05-15,216797,491335,1201688391,178080
99399,2022-05-15,216797,046917,1551322399,205759
99607,2022-05-15,929042,171089,1186079241,163037
99767,2022-05-15,780643,664285,1541920227,191179
99783,2022-05-15,877902,101136,1720233631,323656
99902,2022-05-15,524739,237519,1238186723,135846
99907,2022-05-15,524739,269914,1404693114,190737
100105,2022-05-15,767818,216797,1365922637,190320
100246,2022-05-15,358443,823106,1196813078,270473
100524,2022-05-16,893996,308493,1498504875,277575
100571,2022-05-16,873765,739816,1150650959,124017
100645,2022-05-16,851082,163989,4328111706,600151
100659,2022-05-16,851082,877902,1760565564,195135
100663,2022-05-16,851082,741511,2038131963,270514
100883,2022-05-16,695907,308493,1145217283,162051
101134,2022-05-16,577700,163989,1145110128,118730
101268,2022-05-16,516596,524739,1847771429,197466
101356,2022-05-16,473016,823106,1562939157,274892
101359,2022-05-16,473016,775954,2762969472,335587
101397,2022-05-16,473016,741511,1674062826,285622
101409,2022-05-16,470646,913309,4745049343,471519
101420,2022-05-16,470646,163989,1135513010,173806
101550,2022-05-16,385763,741511,1091492173,153419
101686,2022-05-16,261159,163989,1394879108,226017
101693,2022-05-16,255135,913309,1171520194,163114
101732,2022-05-16,243862,346353,1585392937,295366
101795,2022-05-16,205510,187455,1220577370,244944
101935,2022-05-16,124935,163989,1524547361,286727
101953,2022-05-16,121733,724992,1847017550,226522
101987,2022-05-16,957360,913309,1813664531,182991
102166,2022-05-16,387521,664285,4548879199,563993
102183,2022-05-16,387521,517580,1117583647,136786
102208,2022-05-16,387521,163989,2885815787,375405
102249,2022-05-16,387521,674728,1093446493,184231
102365,2022-05-16,393344,407255,2035850802,252949
102367,2022-05-16,393344,563293,1890338610,336254
102411,2022-05-16,325501,407255,2041989433,266801
102484,2022-05-16,667035,163989,1193016460,275158
102531,2022-05-16,875501,563293,1434807933,197690
102551,2022-05-16,890472,163989,1784136587,284045
102556,2022-05-16,890472,454581,1499982809,300036
102590,2022-05-16,224359,407255,6654640605,723700
102596,2022-05-16,224359,669728,2413591712,273899
102628,2022-05-16,389481,563293,2991744201,423063
102682,2022-05-16,631666,163989,1533706577,260954
102687,2022-05-16,631666,022105,2020793127,304455
102800,2022-05-16,493817,346353,4426012527,596484
102808,2022-05-16,493817,563293,1522379752,277365
102857,2022-05-16,756534,775954,1209655790,266708
102906,2022-05-16,194969,775954,1412522838,169442
102916,2022-05-16,194969,308493,1941408519,249059
103062,2022-05-16,595905,741511,1533306054,176270
103177,2022-05-16,389505,308493,1773289253,205189
103180,2022-05-16,389505,563293,1191584344,231730
103181,2022-05-16,389505,163989,1467970634,260733
103184,2022-05-16,389505,096397,2636769289,369751
103217,2022-05-16,564780,096397,2001781262,295985
103218,2022-05-16,564780,454581,2014268225,239782
103220,2022-05-16,567273,163989,1466838847,299165
103287,2022-05-16,974612,163989,1387346210,157602
103537,2022-05-16,143000,823106,1161762714,136736
103727,2022-05-16,710068,096397,2120755771,273953
103882,2022-05-16,886224,163989,1543076308,170050
103911,2022-05-16,985224,667418,1403643959,306328
104033,2022-05-17,870754,954252,1092906999,115635
104040,2022-05-17,870083,432003,1682413863,191029
104181,2022-05-17,796980,913309,1318493316,278997
104414,2022-05-17,626059,814324,1114771275,180759
104428,2022-05-17,615402,913309,1182293759,275998
105192,2022-05-17,181452,609044,1236083067,145251
105640,2022-05-17,393344,432003,4065054974,493376
105641,2022-05-17,393344,187455,1306186307,206340
105647,2022-05-17,393344,609044,4004987146,437870
105649,2022-05-17,393344,758561,1098481664,112631
105864,2022-05-17,269993,538619,1195863061,165864
105877,2022-05-17,269993,609044,10578685819,1120536
105885,2022-05-17,269993,524739,2834376647,417221
106202,2022-05-17,348317,163989,1239980175,282001
106203,2022-05-17,348317,864282,2499893750,291294
106555,2022-05-17,471224,749585,1202028148,291531
106943,2022-05-17,154593,609044,6136324793,695342
106960,2022-05-17,154593,753570,2534167907,416036
107032,2022-05-18,889003,668560,2418296213,344565
107340,2022-05-18,577700,668560,1256789041,265165
107407,2022-05-18,517994,285400,1482030131,312140
107597,2022-05-18,360621,668560,3497750467,508163
108069,2022-05-18,609044,340476,2685637160,411341
108076,2022-05-18,609044,668560,3901981112,459483
108349,2022-05-18,291491,668560,2876301084,298149
108506,2022-05-18,039735,668560,1598215742,168916
108580,2022-05-18,897128,563293,1480336700,203759
108799,2022-05-18,404591,668560,1168793491,245614
108863,2022-05-18,154593,873765,1874170869,253496
108913,2022-05-18,154593,563293,1451887008,183802
108917,2022-05-18,154593,316737,1833219497,286615
108931,2022-05-18,154593,340476,1983303045,282590
108944,2022-05-18,154593,668560,6655854952,710063
109308,2022-05-21,645487,115373,1325627904,198548
110137,2022-05-21,609044,603794,1660266208,176936
110139,2022-05-21,609044,547564,1182823294,206245
110152,2022-05-21,609044,161575,2042919876,273042
110175,2022-05-21,609044,836603,1467402422,237693
110700,2022-05-21,507453,563293,1767409597,222644
110847,2022-05-21,897128,975877,1974716991,324005
110985,2022-05-21,782768,563293,1208733424,263611
111872,2022-05-22,569334,163989,1373546793,175228
111873,2022-05-22,569334,726562,1428134176,157001
112044,2022-05-22,472547,163989,2179278369,385721
112177,2022-05-22,403124,367391,1258272796,199370
112514,2022-05-22,193130,452575,1138779714,263867
112525,2022-05-22,193130,726562,2391907906,272102
112571,2022-05-22,161575,163989,1308705011,253939
112766,2022-05-22,190660,726562,5240939837,620417
112767,2022-05-22,190660,098764,1726083695,287963
113024,2022-05-22,265124,163989,4875073612,603612
113350,2022-05-22,427996,163989,4864344992,595190
113370,2022-05-22,427996,710068,1386837804,208622
113445,2022-05-22,046917,753570,1503015439,240280
113563,2022-05-22,853246,758561,1131160943,245626
113623,2022-05-22,001159,452575,1141619173,147840
113635,2022-05-22,001159,187829,1263335449,180525
113655,2022-05-22,001159,194969,2052275683,316637
113665,2022-05-22,001159,760074,1162878683,190141
113683,2022-05-22,039735,726562,1268393007,288637
113788,2022-05-22,787534,367391,1233938865,142502
113840,2022-05-22,038820,548585,1312687577,136438
113962,2022-05-22,718690,767809,1209380339,187795
114036,2022-05-22,128197,163989,2827506292,429321
114126,2022-05-22,568281,163989,3460299915,379982
114199,2022-05-22,042414,452575,2529481415,348227
114356,2022-05-22,982774,163989,3229339008,353371
114385,2022-05-22,982774,172413,1418492911,266618
114390,2022-05-22,982774,548585,1344256304,222948
114654,2022-05-23,841718,753949,2048693851,293200
114668,2022-05-23,835064,014598,2934083211,365956
114867,2022-05-23,777211,468502,1937649754,375155
114873,2022-05-23,777211,977788,1930927160,214203
114966,2022-05-23,758706,176300,2531522184,295838
115210,2022-05-23,649896,471589,1173051796,172751
115585,2022-05-23,477752,700437,1230293118,255151
115605,2022-05-23,477752,977788,3577129701,386439
115990,2022-05-23,301196,570712,1818699107,364076
116332,2022-05-23,148963,101136,1507471004,205818
117008,2022-05-23,325501,185887,1104740327,212860
117010,2022-05-23,325501,852094,1668296391,343601
117018,2022-05-23,369809,391592,1902459895,205936
117201,2022-05-23,161035,295414,1272459961,182359
117226,2022-05-23,189019,567273,1695629431,218001
117392,2022-05-23,726562,761987,1927904658,341000
117396,2022-05-23,726562,544722,1826099239,353306
117400,2022-05-23,726562,288984,1956446537,225930
117404,2022-05-23,726562,193130,1434078783,224337
117408,2022-05-23,726562,325095,1204887793,289734
117419,2022-05-23,726562,864636,2739414874,457155
117421,2022-05-23,726562,350029,1143136253,133070
117422,2022-05-23,726562,427996,3779367918,537485
117487,2022-05-23,890138,651990,1593986022,259621
117549,2022-05-23,055220,176300,1904984748,210032
118057,2022-05-23,039735,237519,1724533052,310586
118058,2022-05-23,039735,176300,2720798267,382445
118064,2022-05-23,039735,427996,1909944299,330792
118066,2022-05-23,039735,896598,1926872331,355093
118147,2022-05-23,473383,093185,1259516183,307832
118221,2022-05-23,905894,388742,1306528292,137865
118579,2022-05-23,568281,100817,1919277340,369699
118583,2022-05-23,568281,733855,1309231327,265103
118632,2022-05-23,763381,782045,1875251354,359025
118647,2022-05-23,845562,176300,1141990619,261477
118883,2022-05-23,982774,308253,1931854203,313849
118886,2022-05-23,982774,079151,1592381447,259938
118950,2022-05-23,154593,014598,3968748007,520725
118951,2022-05-23,154593,852094,1288187007,262488
118952,2022-05-23,154593,288517,1461973770,205020
119033,2022-05-24,869075,450943,1159108227,223317
119056,2022-05-24,841718,638566,1360345550,144294
119377,2022-05-24,664285,259057,1913830335,224894
119380,2022-05-24,664285,819379,3412484624,416331
119447,2022-05-24,604885,389481,1242030365,183516
119522,2022-05-24,535931,605015,1895870208,291222
119601,2022-05-24,517021,446456,3100877588,348608
120667,2022-05-24,864636,301196,1208577421,226203
120877,2022-05-24,216797,838389,1866935823,365452
121029,2022-05-24,390168,815561,1157668849,295470
121281,2022-05-24,565975,815561,1907326101,362731
121312,2022-05-24,763381,101828,1580450290,210481
121556,2022-05-25,915116,819379,1683599538,173786
121569,2022-05-25,912055,819379,1227084292,216503
121590,2022-05-25,892164,535931,1490498045,263003
121718,2022-05-25,807522,819379,1522644905,197505
121929,2022-05-25,699833,161035,2032361203,218950
121953,2022-05-25,698837,996725,1625187665,217074
122006,2022-05-25,665255,819379,1745113754,205718
122125,2022-05-25,615402,664285,3241497275,453663
122132,2022-05-25,615402,468502,1794537600,255334
122150,2022-05-25,615402,819379,2030581592,290183
122167,2022-05-25,615402,161035,2111217957,275957
122178,2022-05-25,615402,076084,4244467586,461983
122182,2022-05-25,615402,282580,1335269470,133252
122188,2022-05-25,615402,014598,1833407279,325444
122386,2022-05-25,471589,819379,5733688587,582201
122514,2022-05-25,378179,819379,2026358686,351641
122545,2022-05-25,366641,014598,1683900718,253781
122557,2022-05-25,366225,234668,1264432743,130019
122575,2022-05-25,366225,404591,2837622403,428680
122588,2022-05-25,356669,726562,3038567336,332701
122589,2022-05-25,356669,014598,2306203337,349397
122620,2022-05-25,334042,468502,1234474205,219554
122826,2022-05-25,211092,161035,1879397234,236524
122831,2022-05-25,208021,726562,1326265901,143077
123078,2022-05-25,563293,664285,1989593808,208744
123084,2022-05-25,563293,044174,1364869363,296958
123177,2022-05-25,689068,468502,1780773008,234135
123191,2022-05-25,689068,726562,1854471376,339158
123196,2022-05-25,689068,342045,1808250065,181084
123204,2022-05-25,689068,404591,1957887320,238744
123259,2022-05-25,746131,535931,2014248715,219252
123274,2022-05-25,746131,819379,2209565602,381683
123286,2022-05-25,746131,726562,1992595441,219572
123288,2022-05-25,746131,014598,1703783193,270974
123741,2022-05-25,601684,208592,2507216815,335398
123743,2022-05-25,601684,076084,5116048172,604494
123746,2022-05-25,601684,548585,1627112145,173576
123845,2022-05-25,175929,425048,1185268064,157821
124024,2022-05-25,079494,664285,1129268725,135262
124075,2022-05-25,079494,568281,2917575393,359200
124126,2022-05-25,421344,819379,1366909744,258503
124132,2022-05-25,421344,014598,1216573259,234146
124145,2022-05-25,463481,342045,1125031597,130651
124331,2022-05-25,845238,468502,1139772277,193696
124383,2022-05-25,128197,819379,1625114917,339418
124436,2022-05-25,285333,819379,1702753884,197649
124478,2022-05-25,338101,819379,1644450024,252816
124501,2022-05-25,454581,819379,1695549225,237963
124509,2022-05-25,454581,548585,1235317717,259117
124617,2022-05-25,228406,726562,1304213707,141096
124654,2022-05-25,522832,403691,1348606175,253066
124740,2022-05-28,906899,199462,1798707879,367445
126016,2022-05-28,393344,601684,1942960151,235705
126297,2022-05-28,265643,255764,1150520836,284831
126387,2022-05-28,726562,037168,1853081535,332307
126495,2022-05-28,335751,199462,3572615367,458709
126497,2022-05-28,335751,014598,1939553217,212833
126625,2022-05-28,215268,228406,1655023727,346114
126757,2022-05-28,110291,763381,1147109955,211777
127250,2022-05-28,171243,456276,2106154650,283656
127260,2022-05-28,171243,601684,5364899161,592908
127271,2022-05-29,920910,014598,1846278443,242068
127307,2022-05-29,906951,839332,1386766912,276638
127424,2022-05-29,870967,615402,1532807080,187410
127430,2022-05-29,870967,208592,2328593818,358323
127431,2022-05-29,870967,819379,4270765836,498962
127438,2022-05-29,870967,325501,3670726843,574387
127440,2022-05-29,870967,864636,1631273827,230543
127448,2022-05-29,870967,738462,2026177280,225263
127451,2022-05-29,870967,269914,1751428823,278532
127583,2022-05-29,824815,819379,1817125992,359608
127742,2022-05-29,754074,615402,1309016061,213238
127745,2022-05-29,754074,014598,1819309112,372552
127746,2022-05-29,754074,682336,1180149311,235291
127782,2022-05-29,740635,787534,1848316778,314857
127783,2022-05-29,740635,738462,1197233457,191143
127841,2022-05-29,714773,378179,4975974988,650456
128098,2022-05-29,602940,549811,2894468065,473495
128102,2022-05-29,602940,292489,1677161123,292256
128166,2022-05-29,585554,014598,2758446510,343889
128269,2022-05-29,525681,615402,1302844487,206482
128401,2022-05-29,477752,817131,3901885932,606388
128531,2022-05-29,433644,468502,2309357890,427891
128699,2022-05-29,363574,605015,1966951718,241406
128700,2022-05-29,363574,549811,1145038917,250684
128712,2022-05-29,363574,984526,1609215974,304231
128749,2022-05-29,349022,712975,1339097498,199538
128783,2022-05-29,334421,366225,1817177220,363993
128825,2022-05-29,312543,615402,1826635402,370562
128901,2022-05-29,300954,378179,2462995313,406862
128904,2022-05-29,300954,575868,1162837878,162837
128945,2022-05-29,291165,397198,2314022491,351686
129607,2022-05-29,475218,366225,1845771244,263519
129907,2022-05-29,249231,819379,1703974246,309346
129929,2022-05-29,276117,819379,1136871918,239753
129932,2022-05-29,276117,014598,2755342320,360330
129968,2022-05-29,369809,366225,1830641316,296692
130076,2022-05-29,828623,356669,1340455754,242679
130183,2022-05-29,161035,810432,1380324705,271192
130244,2022-05-29,271909,342976,1464091426,262462
130362,2022-05-29,726562,645487,1494888997,229682
130381,2022-05-29,726562,185887,1722571513,312228
130385,2022-05-29,726562,819379,6521359796,724465
130400,2022-05-29,726562,659516,1391888369,310936
130407,2022-05-29,726562,014598,1804237918,280361
130419,2022-05-29,726562,738462,2652980077,374545
130505,2022-05-29,055220,819379,1635350556,190498
130507,2022-05-29,055220,014598,3057361956,356014
130594,2022-05-29,335751,738462,4265371194,647218
130776,2022-05-29,947308,378179,2046390273,229569
130860,2022-05-29,265757,378179,3169344201,419473
130872,2022-05-29,301040,819379,1349892347,264681
130875,2022-05-29,301040,014598,1302108562,189807
130985,2022-05-29,629560,764702,1811394324,243701
131147,2022-05-29,380128,819379,1834035068,260779
131183,2022-05-29,633244,014598,1640010738,253694
131436,2022-05-29,738462,819379,1837279742,348362
131755,2022-05-29,404591,014598,2748097631,310083
131757,2022-05-29,404591,852094,2404964928,281338
131919,2022-05-29,097005,615402,1981513288,333799
131920,2022-05-29,097005,468502,1445048236,201614
131933,2022-05-29,171243,819379,2522065799,309435
131983,2022-05-30,916056,819379,3645336830,436023
132440,2022-05-30,605015,771071,1407328728,253647
132789,2022-05-30,314713,819379,1688171041,208178
132797,2022-05-30,305118,819379,1308865487,316388
133005,2022-05-30,133658,510163,1757379532,345774
133196,2022-05-30,135983,370228,1655598352,191563
133205,2022-05-30,135983,631666,1389544653,293207
133259,2022-05-30,387764,133658,1799985151,207572
133599,2022-05-30,989958,819379,2134861658,391941
134187,2022-05-30,326588,452575,1091546321,294673
134197,2022-05-30,384962,871745,1745596802,239859
134204,2022-05-30,384962,819379,1243247793,161145
134458,2022-05-30,154593,480460,1548933240,201241
134464,2022-05-30,154593,370228,3541743399,411044
134481,2022-05-30,154593,819379,2598078713,326842
134494,2022-05-30,154593,583236,1130717303,216641
134498,2022-05-30,154593,631666,3015553302,450776
134526,2022-05-30,154593,972201,2912560937,446899
134583,2022-05-31,892066,338101,1591824564,325154
135122,2022-05-31,367391,824815,1156599988,240041
135162,2022-05-31,367391,338101,1151653980,254265
135426,2022-05-31,155951,611015,2506213669,415428
135500,2022-05-31,983903,611015,1362633773,160891
135984,2022-05-31,726562,611015,1134125150,125993
136677,2022-05-31,154593,611015,2667590371,367534
136699,2022-05-31,154593,524739,1112825461,220541
136798,2022-06-01,897187,819379,2301210960,286375
136801,2022-06-01,897187,253463,3846061025,556532
136807,2022-06-01,897187,581721,1917697766,242826
136811,2022-06-01,893260,320426,1642014856,192664
136849,2022-06-01,870967,641674,3629728959,431106
136858,2022-06-01,870967,819379,1235908140,215088
136892,2022-06-01,848338,819379,1159533425,146452
136897,2022-06-01,845864,819379,1679143299,279485
136900,2022-06-01,845864,581721,1814137369,226625
136945,2022-06-01,823106,581721,1704720228,260132
136970,2022-06-01,816044,483607,3757400296,424890
137014,2022-06-01,800677,819379,1936172900,372815
137030,2022-06-01,800677,581721,1252890975,240563
137416,2022-06-01,623693,585554,1178032853,133670
137417,2022-06-01,623693,295414,1925481558,203413
137420,2022-06-01,623693,342976,1954130238,262466
137467,2022-06-01,615402,819379,1790368957,354225
137474,2022-06-01,615402,520837,1155313814,138855
137605,2022-06-01,582894,191582,7296288170,932063
137654,2022-06-01,568378,641674,3465478772,451385
137658,2022-06-01,568378,320426,1928044263,325816
137661,2022-06-01,568378,819379,4001805468,482275
138006,2022-06-01,391092,819379,3342927808,441948
138109,2022-06-01,342681,061560,1844908184,231202
138123,2022-06-01,341887,819379,1626880345,199786
138187,2022-06-01,305118,819379,4709202666,599858
138291,2022-06-01,257935,295414,1240477040,225204
138332,2022-06-01,234668,257935,1398681937,170076
138340,2022-06-01,234668,581721,1911384616,206642
138442,2022-06-01,193130,916056,1126474082,215237
138454,2022-06-01,193130,490661,1945109845,247633
138648,2022-06-01,114041,819379,1918641129,212191
138694,2022-06-01,983903,473405,1842418998,278300
138720,2022-06-01,829769,320426,1644724338,328679
138734,2022-06-01,693093,819379,1931804094,264614
138787,2022-06-01,482029,819379,1263707869,262283
138841,2022-06-01,232385,061560,1436726306,193493
138893,2022-06-01,135983,819379,3656194025,469994
138894,2022-06-01,135983,648050,1309245221,232684
138899,2022-06-01,135983,756330,1158964291,238800
138909,2022-06-01,836608,458055,1404525407,187616
139010,2022-06-01,314293,148963,2020068072,359930
139012,2022-06-01,314293,819379,1888459979,300790
139015,2022-06-01,314293,098757,5501444559,611252
139140,2022-06-01,090596,819379,1880531484,325074
139179,2022-06-01,276091,726562,1924369183,339279
139204,2022-06-01,456199,805522,1909774059,353396
139256,2022-06-01,700221,602940,2049054583,380516
139350,2022-06-01,007812,320426,1931028026,276793
139433,2022-06-01,352268,097005,1187049963,270488
139496,2022-06-01,729526,191582,3221447715,364448
139691,2022-06-01,335751,648050,1160760178,175246
139759,2022-06-01,493762,830428,1928526166,274939
139765,2022-06-01,493762,468502,5759498636,688434
139768,2022-06-01,493762,648050,1917074876,227131
139769,2022-06-01,493762,121386,3709893321,485115
139775,2022-06-01,493762,726562,1944197400,308040
139778,2022-06-01,493762,014598,1428230638,267929
139787,2022-06-01,501450,393344,1136402530,188963
139801,2022-06-01,587833,819379,1940964038,365911
139837,2022-06-01,756330,922183,3295283098,370470
139839,2022-06-01,756330,611015,1938481708,335111
139840,2022-06-01,756330,602940,1833533746,347693
139842,2022-06-01,756330,061560,1935140278,368730
139846,2022-06-01,756330,979678,1244442898,214223
139950,2022-06-01,175169,191582,1561540820,204228
139974,2022-06-01,225654,312543,2706703640,391024
139984,2022-06-01,225654,161035,1153593795,292181
140013,2022-06-01,357336,061560,2073236651,308108
140016,2022-06-01,357336,852094,1740018344,241362
140029,2022-06-01,483607,097005,3792481071,456935
140039,2022-06-01,515690,602940,2121343530,290293
140040,2022-06-01,515690,312543,1584942028,322075
140061,2022-06-01,570769,819379,1921117290,239605
140214,2022-06-01,447360,726562,1929394109,263563
140260,2022-06-01,725957,787744,1243469263,299919
140309,2022-06-01,991413,320426,1933538146,292012
140313,2022-06-01,991413,524739,1258324830,176026
140346,2022-06-01,197362,916056,2001461399,215196
140379,2022-06-01,289378,404591,1285153518,274212
140481,2022-06-01,718690,819379,1804243998,339445
140487,2022-06-01,767896,524739,1901102258,351617
140499,2022-06-01,858550,819379,7802133534,945496
140500,2022-06-01,858550,756330,1949254156,297134
140517,2022-06-01,928500,819379,1390307373,201197
140758,2022-06-01,208454,061560,1828129474,331889
140888,2022-06-01,793694,819379,1094197883,138656
141299,2022-06-06,763573,623203,1434571935,289486
141300,2022-06-06,763573,301196,1284939190,167000
141310,2022-06-06,763573,726562,1626693450,259636
141443,2022-06-06,673482,517021,1414487944,266990
141444,2022-06-06,673482,001159,1901140367,220336
141588,2022-06-06,602940,109701,1802815059,364093
142164,2022-06-06,277378,864636,1836171783,322100
142224,2022-06-06,237519,729526,1094349120,191061
142252,2022-06-06,223402,001159,1207010656,249303
142387,2022-06-06,977938,524141,1694532355,314398
142531,2022-06-06,266863,661102,1538428254,175564
142539,2022-06-06,266863,001159,1240136034,169732
142589,2022-06-06,135983,273858,1346396362,243138
143202,2022-06-06,493762,523099,1809945736,195523
143206,2022-06-06,493762,114041,1895303858,334284
143217,2022-06-06,493762,001159,1897327699,241889
143290,2022-06-06,891773,001159,1253503512,206775
143697,2022-06-06,736962,726562,1932117897,236875
143699,2022-06-06,736962,001159,1244322725,176548
143741,2022-06-06,743223,567250,1625443053,168053
143763,2022-06-06,743223,114041,1205704098,183692
143764,2022-06-06,743223,109701,2560596556,309283
143801,2022-06-06,743223,208454,1391675363,217376
143874,2022-06-06,157548,729526,1951744726,304759
143886,2022-06-06,324816,726562,1612811893,235445
143929,2022-06-06,490661,726430,1189959864,181227
144120,2022-06-06,763381,193130,2830628797,468927
144203,2022-06-06,112190,524141,1508109239,280665
144291,2022-06-06,404591,001159,1445130783,287529
144506,2022-06-07,870967,935824,1115145270,119071
144705,2022-06-07,690467,468502,1156246374,137515
144710,2022-06-07,690467,205039,1953318394,233570
144717,2022-06-07,690467,386852,22558824586,2538236
144718,2022-06-07,690467,049187,1913558584,317713
144736,2022-06-07,690467,020573,1279215101,250193
144783,2022-06-07,675639,386852,1498431264,267771
144790,2022-06-07,675639,852094,1257425308,250171
144808,2022-06-07,656977,114041,1142409562,251294
145077,2022-06-07,378179,305157,1513124211,283004
145244,2022-06-07,193130,324816,1127318651,184867
145623,2022-06-07,246537,568378,1447682390,205847
145897,2022-06-07,014742,548962,1374731238,154872
145900,2022-06-07,014742,441624,1835280340,367779
145981,2022-06-07,894549,112190,1257386152,185939
146015,2022-06-07,001159,957360,1951270754,213629
146032,2022-06-07,001159,852094,1984611886,212737
146139,2022-06-07,743223,734760,2854236359,409203
146151,2022-06-07,743223,568378,4660648645,639987
146185,2022-06-07,743223,386852,3842465422,569725
146226,2022-06-07,743223,991413,3464753310,483558
