,GDate,CodOfBuyer,CodOfSeller,Value,Valume
11480,2022-04-03,154593,651140,2473119236,481542
11484,2022-04-03,154593,199391,1095715382,177630
11513,2022-04-04,906899,344109,1430344533,292444
11516,2022-04-04,906899,177701,1257466974,167574
11904,2022-04-04,657185,037694,2208233557,389709
12209,2022-04-04,468502,037694,8748714356,1276833
12210,2022-04-04,468502,126353,4139781218,565023
12784,2022-04-04,819379,447319,1430742495,289309
12799,2022-04-04,819379,625827,1445324583,224585
12823,2022-04-04,739816,721440,1193366878,195485
12995,2022-04-04,106923,722779,1163219703,276839
13099,2022-04-04,157861,681624,1357245839,257480
13125,2022-04-04,265643,606049,1365342379,315053
13153,2022-04-04,265643,037694,3953802132,659472
13154,2022-04-04,265643,126353,1483407627,333715
13465,2022-04-04,665883,606049,1252758343,208525
13481,2022-04-04,665883,282636,1513994436,232730
13814,2022-04-04,068821,543236,1527652138,351518
13924,2022-04-04,037694,561961,1174048275,245317
13947,2022-04-04,037694,524739,1355265396,347693
14176,2022-04-04,154593,037694,1646253393,246064
14290,2022-04-05,829197,603794,1316016112,342469
14392,2022-04-05,697956,126353,3114301992,463705
14842,2022-04-05,292091,126353,1557305735,296900
15059,2022-04-05,770597,209219,1410833544,299472
15096,2022-04-05,770597,675623,3938772484,579657
15101,2022-04-05,770597,252572,1202360560,260568
15107,2022-04-05,770597,746455,1095726461,228493
15181,2022-04-05,304727,775954,1228475763,172929
15200,2022-04-05,304727,886561,1437092868,229783
15327,2022-04-05,954425,564910,1280122002,228431
15370,2022-04-05,183162,126353,1286894381,202015
15542,2022-04-05,644797,387764,2540564437,454528
15544,2022-04-05,644797,858950,1339854771,329061
15551,2022-04-05,644797,068821,1231608169,244200
15573,2022-04-05,783367,858950,1161540722,187164
15577,2022-04-05,783367,591700,1280419520,222861
15623,2022-04-05,977233,860560,1544045670,307123
15660,2022-04-05,067340,068821,1110848902,269350
15693,2022-04-05,372395,775954,1178983732,187595
15784,2022-04-05,541349,860560,1165145861,231770
16323,2022-04-05,423249,216797,1340728222,279029
16324,2022-04-05,423249,126353,2330287061,361309
16580,2022-04-06,822504,847658,1551096060,350011
16604,2022-04-06,822504,404591,1095633842,262539
16981,2022-04-06,587480,135182,1566979931,355375
16982,2022-04-06,587480,567273,1497674843,206958
17024,2022-04-06,561961,037694,2547940094,330370
17043,2022-04-06,546201,697504,1165488877,244091
17044,2022-04-06,546201,037694,2836197852,376415
17179,2022-04-06,476156,980494,1513237153,329222
17423,2022-04-06,344658,404591,1252559603,235330
17900,2022-04-06,059637,183666,1408745191,292108
17985,2022-04-06,125056,647632,1464821424,229100
17986,2022-04-06,125056,531539,1414703406,265661
18020,2022-04-06,125056,404591,1872932670,266331
18219,2022-04-06,977788,037694,1387367703,250971
18845,2022-04-06,733859,979309,1290720225,304282
18852,2022-04-06,733859,126353,1424394817,226353
19160,2022-04-06,998428,186302,1102747029,199697
19317,2022-04-06,126353,103807,1361735876,260696
19318,2022-04-06,126353,681624,1554102877,324888
19713,2022-04-09,834742,333543,2686623349,505644
19797,2022-04-09,829197,617843,4685327166,681442
19806,2022-04-09,829197,333543,2873091043,505722
19818,2022-04-09,829197,615575,3888570026,603282
19825,2022-04-09,829197,067340,1220505681,197435
19831,2022-04-09,829197,942804,2737256435,435899
19840,2022-04-09,829197,366908,2122843676,429478
19844,2022-04-09,829197,993416,2430986295,316732
20428,2022-04-09,503073,650450,1087379880,297862
20742,2022-04-09,288984,291934,1469516271,283112
20945,2022-04-09,186909,877902,1550520063,353620
20946,2022-04-09,186909,291934,1178116374,319709
21092,2022-04-09,135182,495758,1217064193,230114
21463,2022-04-09,125056,301196,1365540752,309596
21488,2022-04-09,125056,993416,1677946808,246873
21607,2022-04-09,609044,858950,1189313008,272684
21725,2022-04-09,667856,590988,2398710684,375091
21834,2022-04-09,230594,292091,1242227872,253252
22035,2022-04-09,372395,858950,1094104950,272818
22597,2022-04-09,071510,404591,1641323185,317039
22634,2022-04-09,178998,404591,1523548366,210528
23175,2022-04-10,916056,216797,2467031777,424848
23358,2022-04-10,801446,209742,1359058603,296532
23569,2022-04-10,615402,163989,2372867504,423036
24729,2022-04-10,173818,163989,1464325155,326015
24733,2022-04-10,173818,602491,1362741969,312113
24994,2022-04-10,002490,590988,1125363739,203673
25070,2022-04-10,665151,822504,1412020155,244466
25342,2022-04-10,524739,783367,1344320088,302965
25352,2022-04-10,564910,277386,1649029375,317357
25583,2022-04-10,126353,647632,1584452124,263077
25606,2022-04-10,126353,993416,1430533674,305266
25711,2022-04-10,687390,647632,1570462087,231089
25738,2022-04-10,687390,993416,1837498983,349377
26943,2022-04-11,783778,165833,2775080115,367476
27171,2022-04-11,838239,747009,2039126559,339708
27176,2022-04-11,838239,544598,1212583459,210277
27219,2022-04-11,838239,186302,2996824421,433444
27223,2022-04-11,838239,130795,1601893275,271287
27281,2022-04-11,055220,747009,1299184381,290812
28254,2022-04-12,602940,834255,1526602993,318448
28817,2022-04-12,186909,758706,1176690792,293703
28824,2022-04-12,186909,378179,5696836428,894449
28837,2022-04-12,186909,954425,1105014889,314332
28850,2022-04-12,186909,254537,1308851656,203698
29158,2022-04-12,387764,052739,1408194387,351173
29418,2022-04-12,352268,166722,1204937441,185858
29439,2022-04-12,352268,356500,1142815116,157575
29443,2022-04-12,352268,524739,1191041350,192599
29614,2022-04-12,372395,397198,1101602023,274888
29619,2022-04-12,372395,781865,1167268948,254107
29621,2022-04-12,372395,502644,1430809554,274833
29625,2022-04-12,372395,733859,1317059235,251242
29627,2022-04-12,372395,861512,1176720502,255395
29840,2022-04-12,186302,781865,1527735654,374504
29848,2022-04-12,206762,126353,1545673195,271092
30209,2022-04-12,210754,303644,1185123229,192091
30238,2022-04-12,404591,905613,1537439968,293020
30242,2022-04-12,404591,834255,1508984689,349741
30244,2022-04-12,404591,824795,1121259039,170863
30299,2022-04-12,404591,204674,1141159820,190112
30385,2022-04-12,849755,758706,1169651158,182024
30426,2022-04-12,849755,448619,1433991491,340135
30504,2022-04-12,154593,578517,1158557522,251615
30505,2022-04-12,154593,499963,1168506075,309964
30506,2022-04-12,154593,397198,1556528130,266019
30520,2022-04-12,154593,861512,1906580033,352372
30552,2022-04-12,171243,204674,1812502536,368219
30571,2022-04-12,171243,126353,1566743443,264459
31233,2022-04-13,125056,764663,2318664506,364230
31538,2022-04-13,216797,835064,1138080155,304614
31839,2022-04-16,860966,180344,12960021616,1751918
31901,2022-04-16,821964,163989,1652708461,269310
31934,2022-04-16,758706,163989,1639566806,316595
31936,2022-04-16,758706,180344,1490175472,244870
31942,2022-04-16,747236,163989,1504549311,316224
31970,2022-04-16,720098,163989,1625190304,255610
31973,2022-04-16,706588,180344,1643169240,207268
31974,2022-04-16,687916,180344,1633291208,290103
31975,2022-04-16,686251,163989,1656370896,325255
32004,2022-04-16,524141,180344,1650769095,372835
32148,2022-04-16,246435,180344,6504296067,862131
32164,2022-04-16,215276,617843,4013172884,555216
32172,2022-04-16,215276,393859,1605263719,341636
32199,2022-04-16,215276,816185,1655417534,235109
32217,2022-04-16,215276,683773,1618153168,245770
32263,2022-04-16,119934,180344,1644478640,319468
32264,2022-04-16,128066,825463,1456145545,325007
